table2Version;indicatorOfParameter;shortName;comment
228;143;SS;Snow sublimation
228;144;LatHeatSubl;Latent heat sublimation
228;145;SMelt;Snow melting
228;146;SurfSensHeatFl;Surf Sensible heat flx J/sq m J/sq m
228;147;SurfLatHeatFl;Surf Latent heat flx J/ sq m J/ sq m
228;148;PD;PBL dissipation J/sq m J/sq m
228;149;TME;Top mesospheric enthalpy J J
228;150;SurfSWrad;Surf Solar radiation J/sq m J/sq m
228;151;SurfLWrad;Surf Thermal radiation J/sq m J/sq m
228;152;TopSWrad;Top Solar radiation J/sq m J/sq m
228;153;TopLWrad;Top Thermal radiation J/sq m J/sq m
228;154;csSWF;Clear sky Shrt Wv rad flx J/sq m J/sq m
228;155;csLWF;Clear sky Long Wv rad flx J/sq m J/sq m
228;156;SPF;Surf Parall Solar flx J/sq m J/sq m
228;157;TPF;Top Parall Solar flx J/sq m J/sq m
228;158;SurfDownSW;Surf Downward Solar flux J/sq m J/sq m
228;159;SurfDownLW;Surf Downward Thermal flx J/sq m J/sq m
228;160;SoilHeatFlux;Soil heat flux J/sq m J/sq m
228;161;SoilWaterFlux;Soil water flux kg/sq m kg/sq m
228;162;SurfRunoff;Surface runoff  kg/sq m kg/sq m
228;163;DSR;Deep soil runoff  kg/sq m kg/sq m
228;164;IRR;Interception res runoff  kg/sq m kg/sq m
228;165;EvapoTrans;Evapotranspiration
228;166;Trans;Transpiration
228;167;tco;Total Ozone
228;168;TPW;Tot Precipitable Water m mm
228;169;SSM;Solid specific moisture kg/kg  kg/kg
228;170;LSM;Liquid specific moisture kg/kg kg/kg
228;171;CFU;Convective flux of U m/s m/s
228;172;CFV;Convective flux of V m/s m/s
228;173;CFM;Convec Moist flux (Q) kg/sq m kg/sq m
228;174;CFH;Convec Heat flux (Cp.T) J/sq m J/sq m
228;175;TFU;Turbulent flux of U m/s m/s
228;176;TFV;Turbulent flux of V m/s m/s
228;177;TFM;Turbul Moist flux (Q) kg/sq m kg/sq m
228;178;TFH;Turbul Heat flux (Cp.T) J/sq m J/sq m
228;179;ZTS;Zonal Turbulent stress N/sq m N/sq m
228;180;MTS;Merid. Turbulent stress N/sq m N/sq m
228;181;ZGWS;Zonal Grav wave stress N/sq m N/sq m
228;182;MGWS;Merid. Grav wave stress N/sq m N/sq m
228;183;GWD;Gravity Wave dissipation J/sq m J/sq m
228;184;SPT;Tendency of surf press Pa/s Pa/s
228;185;CumCape;Time Cumulated Cape (J*s)
228;186;CumMocon;Time Cumulated Mocon (kg/kg)
228;187;DurPrec;Duration of total Precip.
228;188;unknown;unknown
228;189;unknown;unknown
228;190;unknown;unknown
228;191;SBLwind;SBL Wind Velocity (m/s)
228;192;10u;10 m u  wind component m/s m/s
228;193;10v;10 m v  wind component m/s m/s
228;194;2t;2 m temperature K \SP\o\SPR\C
228;195;2d;2 m dewpoint temperature K \SP\o\SPR\C
228;196;2r;2m Relative humidity % %
228;197;2q;2m Specific humidity kg/kg g/kg
228;198;mx2t;2 m Max temp (since ppp) K \SP\o\SPR\C
228;199;mn2t;2 m Min temp (since ppp) K \SP\o\SPR\C
228;200;ST;Surface Temperature K \SP\o\SPR\C
228;201;DST;Deep Soil Temperature K \SP\o\SPR\C
228;202;SWC;Surface Water Contents ? ?
228;203;DSWC;Deep Soil Water Contents ? ?
228;204;BLU;u at bottom level m/s m/s
228;205;BLV;v at bottom level m/s m/s
228;206;BLT;T at bottom level K \SP\o\SPR\C
228;207;BLQ;Q at bottom level kg/kg  kg/kg
228;208;BLGP;Geopot bottom level m**2/s**2 dam
228;209;IFLR;Inst flx LS rain kg/sq m s mm/s
228;210;IFLS;Inst flx LS snow kg/sq m s mm/s(water equiv)
228;211;IFCR;Inst flx Conv rain kg/sq m s mm/s
228;212;IFCS;Inst flx Conv snow kg/sq m s mm/s(water equiv)
228;213;IFCCC;Inst flx Conv Cld Cover 0-1 0-1
228;214;IFLCC;Inst flx Low Cld Cover 0-1 0-1
228;215;IFMCC;Inst flx Medium Cld Cover 0-1 0-1
228;216;IFHCC;Inst flx High Cld Cover 0-1 0-1
228;217;IFTCC;Inst flx Tot Cld cover 0-1 0-1
228;218;IFC;Inst flx Cloudiness (0-9) (0-9)
228;219;SMass;Snow mass kg/sq m kg/sq m
228;220;ISSR;Inst Surf Solar radn W/sq m W/sq m
228;221;ISER;Inst Surf Earth radn W/sq m W/sq m
228;222;ITSR;Inst Top Solar radn W/sq m W/sq m
228;223;ITER;Inst Top Earth radn W/sq m W/sq m
228;224;ICFU;Inst Convective flux of U m/s**2 m/s**2
228;225;ICFV;Inst Convective flux of V m/s**2 m/s**2
228;226;ICFM;Inst Convec Moist flux (Q) kg/sq m s kg/sq m s
228;227;ICFH;Inst Convec Heat flux (Cp.T) W/sq m W/sq m
228;228;ITFU;Inst Turbulent flux of U m/s**2 m/s**2
228;229;ITFV;Inst Turbulent flux of V m/s**2 m/s**2
228;230;ITFM;Inst Turbul Moist flux (Q) kg/sq m s kg/sq m s
228;231;ITFH;Inst Turbul Heat flux (Cp.T) W/sq m W/sq m
228;232;PCUC;(RMI) Prono Conv Upd Cover [0-1] [0-1]
228;233;PCV;(RMI) Prono Conv VV dt Pa Pa
228;235;ZonGust;SBL Zonal gust
228;236;MerGust;SBL Meridian gust
228;237;gust;SBL Gust
228;238;RHmax;SBL Max. Rel. Humidity
228;239;RHmin;SBL Min. Rel. Humidity
228;240;SurfCape;Surface CAPE (J)
228;241;PBLMocon;PBL Mocon (g/kg s^-1)
228;242;PBLh;PBL height (m)
228;243;unknown;unknown
228;244;unknown;unknown
228;245;unknown;unknown
228;246;unknown;unknown
228;247;unknown;unknown
228;248;unknown;unknown
228;249;unknown;unknown
228;250;unknown;unknown
228;251;unknown;unknown
228;252;unknown;unknown
228;253;unknown;unknown
228;254;unknown;unknown
228;255;unknown;unknown
