"latitude" "regular" "reduced"
-38.445916 2560 2048
-38.305346 2560 2048
-38.164776 2560 2048
-38.024206 2560 2048
-37.883636 2560 2048
-37.743066 2560 2048
-37.602496 2560 2160
-37.461926 2560 2160
-37.321356 2560 2160
-37.180785 2560 2160
-37.040215 2560 2160
-36.899645 2560 2160
-36.759075 2560 2160
-36.618505 2560 2160
-36.477935 2560 2160
-36.337365 2560 2160
-36.196795 2560 2160
-36.056225 2560 2160
-35.915655 2560 2160
-35.775085 2560 2160
-35.634515 2560 2160
-35.493945 2560 2160
-35.353374 2560 2160
-35.212804 2560 2160
-35.072234 2560 2160
-34.931664 2560 2160
-34.791094 2560 2160
-34.650524 2560 2160
-34.509954 2560 2160
-34.369384 2560 2160
-34.228814 2560 2160
-34.088244 2560 2160
-33.947674 2560 2160
-33.807104 2560 2160
-33.666534 2560 2160
-33.525964 2560 2160
-33.385393 2560 2187
-33.244823 2560 2187
-33.104253 2560 2187
-32.963683 2560 2187
-32.823113 2560 2187
-32.682543 2560 2187
-32.541973 2560 2187
-32.401403 2560 2187
-32.260833 2560 2250
-32.120263 2560 2250
-31.979693 2560 2250
-31.839123 2560 2250
-31.698553 2560 2250
-31.557982 2560 2250
-31.417412 2560 2250
-31.276842 2560 2250
-31.136272 2560 2250
-30.995702 2560 2250
-30.855132 2560 2250
-30.714562 2560 2250
-30.573992 2560 2250
-30.433422 2560 2250
-30.292852 2560 2250
-30.152282 2560 2250
-30.011712 2560 2250
-29.871142 2560 2250
-29.730572 2560 2250
-29.590001 2560 2250
-29.449431 2560 2304
-29.308861 2560 2304
-29.168291 2560 2304
-29.027721 2560 2304
-28.887151 2560 2304
-28.746581 2560 2304
-28.606011 2560 2304
-28.465441 2560 2304
-28.324871 2560 2304
-28.184301 2560 2304
-28.043731 2560 2304
-27.903161 2560 2304
-27.76259 2560 2304
-27.62202 2560 2304
-27.48145 2560 2304
-27.34088 2560 2304
-27.20031 2560 2304
-27.05974 2560 2304
-26.91917 2560 2400
-26.7786 2560 2400
-26.63803 2560 2400
-26.49746 2560 2400
-26.35689 2560 2400
-26.21632 2560 2400
-26.07575 2560 2400
-25.935179 2560 2400
-25.794609 2560 2400
-25.654039 2560 2400
-25.513469 2560 2400
-25.372899 2560 2400
-25.232329 2560 2400
-25.091759 2560 2400
-24.951189 2560 2400
-24.810619 2560 2400
-24.670049 2560 2400
-24.529479 2560 2400
-24.388909 2560 2400
-24.248339 2560 2400
-24.107768 2560 2400
-23.967198 2560 2400
-23.826628 2560 2400
-23.686058 2560 2400
-23.545488 2560 2400
-23.404918 2560 2400
-23.264348 2560 2400
-23.123778 2560 2400
-22.983208 2560 2400
-22.842638 2560 2400
-22.702068 2560 2400
-22.561498 2560 2400
-22.420928 2560 2400
-22.280357 2560 2400
-22.139787 2560 2400
-21.999217 2560 2400
-21.858647 2560 2400
-21.718077 2560 2430
-21.577507 2560 2430
-21.436937 2560 2430
-21.296367 2560 2430
-21.155797 2560 2430
-21.015227 2560 2430
-20.874657 2560 2430
-20.734087 2560 2430
-20.593517 2560 2430
-20.452946 2560 2430
-20.312376 2560 2430
-20.171806 2560 2430
-20.031236 2560 2430
-19.890666 2560 2430
-19.750096 2560 2500
-19.609526 2560 2500
-19.468956 2560 2500
-19.328386 2560 2500
-19.187816 2560 2500
-19.047246 2560 2500
-18.906676 2560 2500
-18.766106 2560 2500
-18.625535 2560 2500
-18.484965 2560 2500
-18.344395 2560 2500
-18.203825 2560 2500
-18.063255 2560 2500
-17.922685 2560 2500
-17.782115 2560 2500
-17.641545 2560 2500
-17.500975 2560 2500
-17.360405 2560 2500
-17.219835 2560 2500
-17.079265 2560 2500
-16.938694 2560 2500
-16.798124 2560 2500
-16.657554 2560 2500
-16.516984 2560 2500
-16.376414 2560 2500
-16.235844 2560 2500
-16.095274 2560 2500
-15.954704 2560 2500
-15.814134 2560 2500
-15.673564 2560 2500
-15.532994 2560 2500
-15.392424 2560 2500
-15.251854 2560 2500
-15.111283 2560 2500
-14.970713 2560 2500
-14.830143 2560 2500
-14.689573 2560 2500
-14.549003 2560 2500
-14.408433 2560 2500
-14.267863 2560 2500
-14.127293 2560 2500
-13.986723 2560 2560
-13.846153 2560 2560
-13.705583 2560 2560
-13.565013 2560 2560
-13.424443 2560 2560
-13.283872 2560 2560
-13.143302 2560 2560
-13.002732 2560 2560
-12.862162 2560 2560
-12.721592 2560 2560
-12.581022 2560 2560
-12.440452 2560 2560
-12.299882 2560 2560
-12.159312 2560 2560
-12.018742 2560 2560
-11.878172 2560 2560
-11.737602 2560 2560
-11.597032 2560 2560
-11.456461 2560 2560
-11.315891 2560 2560
-11.175321 2560 2560
-11.034751 2560 2560
-10.894181 2560 2560
-10.753611 2560 2560
-10.613041 2560 2560
-10.472471 2560 2560
-10.331901 2560 2560
-10.191331 2560 2560
-10.050761 2560 2560
-9.910191 2560 2560
-9.76962 2560 2560
-9.62905 2560 2560
-9.48848 2560 2560
-9.34791 2560 2560
-9.20734 2560 2560
-9.06677 2560 2560
-8.9262 2560 2560
-8.78563 2560 2560
-8.64506 2560 2560
-8.50449 2560 2560
-8.36392 2560 2560
-8.22335 2560 2560
-8.08278 2560 2560
-7.942209 2560 2560
-7.801639 2560 2560
-7.661069 2560 2560
-7.520499 2560 2560
-7.379929 2560 2560
-7.239359 2560 2560
-7.098789 2560 2560
-6.958219 2560 2560
-6.817649 2560 2560
-6.677079 2560 2560
-6.536509 2560 2560
-6.395939 2560 2560
-6.255369 2560 2560
-6.114798 2560 2560
-5.974228 2560 2560
-5.833658 2560 2560
-5.693088 2560 2560
-5.552518 2560 2560
-5.411948 2560 2560
-5.271378 2560 2560
-5.130808 2560 2560
-4.990238 2560 2560
-4.849668 2560 2560
-4.709098 2560 2560
-4.568528 2560 2560
-4.427957 2560 2560
-4.287387 2560 2560
-4.146817 2560 2560
-4.006247 2560 2560
-3.865677 2560 2560
-3.725107 2560 2560
-3.584537 2560 2560
-3.443967 2560 2560
-3.303397 2560 2560
-3.162827 2560 2560
-3.022257 2560 2560
-2.881687 2560 2560
-2.741117 2560 2560
-2.600546 2560 2560
-2.459976 2560 2560
-2.319406 2560 2560
-2.178836 2560 2560
-2.038266 2560 2560
-1.897696 2560 2560
-1.757126 2560 2560
-1.616556 2560 2560
-1.475986 2560 2560
-1.335416 2560 2560
-1.194846 2560 2560
-1.054276 2560 2560
-0.913706 2560 2560
-0.773135 2560 2560
-0.632565 2560 2560
-0.491995 2560 2560
-0.351425 2560 2560
-0.210855 2560 2560
-0.070285 2560 2560
0.070285 2560 2560
0.210855 2560 2560
0.351425 2560 2560
0.491995 2560 2560
0.632565 2560 2560
0.773135 2560 2560
0.913706 2560 2560
1.054276 2560 2560
1.194846 2560 2560
1.335416 2560 2560
1.475986 2560 2560
1.616556 2560 2560
1.757126 2560 2560
1.897696 2560 2560
2.038266 2560 2560
2.178836 2560 2560
2.319406 2560 2560
2.459976 2560 2560
2.600546 2560 2560
2.741117 2560 2560
2.881687 2560 2560
3.022257 2560 2560
3.162827 2560 2560
3.303397 2560 2560
3.443967 2560 2560
3.584537 2560 2560
3.725107 2560 2560
3.865677 2560 2560
4.006247 2560 2560
4.146817 2560 2560
4.287387 2560 2560
4.427957 2560 2560
4.568528 2560 2560
4.709098 2560 2560
4.849668 2560 2560
4.990238 2560 2560
5.130808 2560 2560
5.271378 2560 2560
5.411948 2560 2560
5.552518 2560 2560
5.693088 2560 2560
5.833658 2560 2560
5.974228 2560 2560
6.114798 2560 2560
6.255369 2560 2560
6.395939 2560 2560
6.536509 2560 2560
6.677079 2560 2560
6.817649 2560 2560
6.958219 2560 2560
7.098789 2560 2560
7.239359 2560 2560
7.379929 2560 2560
7.520499 2560 2560
7.661069 2560 2560
7.801639 2560 2560
7.942209 2560 2560
8.08278 2560 2560
8.22335 2560 2560
8.36392 2560 2560
8.50449 2560 2560
8.64506 2560 2560
8.78563 2560 2560
8.9262 2560 2560
9.06677 2560 2560
9.20734 2560 2560
9.34791 2560 2560
9.48848 2560 2560
9.62905 2560 2560
9.76962 2560 2560
9.910191 2560 2560
10.050761 2560 2560
10.191331 2560 2560
10.331901 2560 2560
10.472471 2560 2560
10.613041 2560 2560
10.753611 2560 2560
10.894181 2560 2560
11.034751 2560 2560
11.175321 2560 2560
11.315891 2560 2560
11.456461 2560 2560
11.597032 2560 2560
11.737602 2560 2560
11.878172 2560 2560
12.018742 2560 2560
12.159312 2560 2560
12.299882 2560 2560
12.440452 2560 2560
12.581022 2560 2560
12.721592 2560 2560
12.862162 2560 2560
13.002732 2560 2560
13.143302 2560 2560
13.283872 2560 2560
13.424443 2560 2560
13.565013 2560 2560
13.705583 2560 2560
13.846153 2560 2560
13.986723 2560 2560
14.127293 2560 2500
14.267863 2560 2500
14.408433 2560 2500
14.549003 2560 2500
14.689573 2560 2500
14.830143 2560 2500
14.970713 2560 2500
15.111283 2560 2500
15.251854 2560 2500
15.392424 2560 2500
15.532994 2560 2500
15.673564 2560 2500
15.814134 2560 2500
15.954704 2560 2500
16.095274 2560 2500
16.235844 2560 2500
16.376414 2560 2500
16.516984 2560 2500
16.657554 2560 2500
16.798124 2560 2500
16.938694 2560 2500
17.079265 2560 2500
17.219835 2560 2500
17.360405 2560 2500
17.500975 2560 2500
17.641545 2560 2500
17.782115 2560 2500
17.922685 2560 2500
18.063255 2560 2500
18.203825 2560 2500
18.344395 2560 2500
18.484965 2560 2500
18.625535 2560 2500
18.766106 2560 2500
18.906676 2560 2500
19.047246 2560 2500
19.187816 2560 2500
19.328386 2560 2500
19.468956 2560 2500
19.609526 2560 2500
19.750096 2560 2500
19.890666 2560 2430
20.031236 2560 2430
20.171806 2560 2430
20.312376 2560 2430
20.452946 2560 2430
20.593517 2560 2430
20.734087 2560 2430
20.874657 2560 2430
21.015227 2560 2430
21.155797 2560 2430
21.296367 2560 2430
21.436937 2560 2430
21.577507 2560 2430
21.718077 2560 2430
21.858647 2560 2400
21.999217 2560 2400
22.139787 2560 2400
22.280357 2560 2400
22.420928 2560 2400
22.561498 2560 2400
22.702068 2560 2400
22.842638 2560 2400
22.983208 2560 2400
23.123778 2560 2400
23.264348 2560 2400
23.404918 2560 2400
23.545488 2560 2400
23.686058 2560 2400
23.826628 2560 2400
23.967198 2560 2400
24.107768 2560 2400
24.248339 2560 2400
24.388909 2560 2400
24.529479 2560 2400
24.670049 2560 2400
24.810619 2560 2400
24.951189 2560 2400
25.091759 2560 2400
25.232329 2560 2400
25.372899 2560 2400
25.513469 2560 2400
25.654039 2560 2400
25.794609 2560 2400
25.935179 2560 2400
26.07575 2560 2400
26.21632 2560 2400
26.35689 2560 2400
26.49746 2560 2400
26.63803 2560 2400
26.7786 2560 2400
26.91917 2560 2400
27.05974 2560 2304
27.20031 2560 2304
27.34088 2560 2304
27.48145 2560 2304
27.62202 2560 2304
27.76259 2560 2304
27.903161 2560 2304
28.043731 2560 2304
28.184301 2560 2304
28.324871 2560 2304
28.465441 2560 2304
28.606011 2560 2304
28.746581 2560 2304
28.887151 2560 2304
29.027721 2560 2304
29.168291 2560 2304
29.308861 2560 2304
29.449431 2560 2304
29.590001 2560 2250
29.730572 2560 2250
29.871142 2560 2250
30.011712 2560 2250
30.152282 2560 2250
30.292852 2560 2250
30.433422 2560 2250
30.573992 2560 2250
30.714562 2560 2250
30.855132 2560 2250
30.995702 2560 2250
31.136272 2560 2250
31.276842 2560 2250
31.417412 2560 2250
31.557982 2560 2250
31.698553 2560 2250
31.839123 2560 2250
31.979693 2560 2250
32.120263 2560 2250
32.260833 2560 2250
32.401403 2560 2187
32.541973 2560 2187
32.682543 2560 2187
32.823113 2560 2187
32.963683 2560 2187
33.104253 2560 2187
33.244823 2560 2187
33.385393 2560 2187
33.525964 2560 2160
33.666534 2560 2160
33.807104 2560 2160
33.947674 2560 2160
34.088244 2560 2160
34.228814 2560 2160
34.369384 2560 2160
34.509954 2560 2160
34.650524 2560 2160
34.791094 2560 2160
34.931664 2560 2160
35.072234 2560 2160
35.212804 2560 2160
35.353374 2560 2160
35.493945 2560 2160
35.634515 2560 2160
35.775085 2560 2160
35.915655 2560 2160
36.056225 2560 2160
36.196795 2560 2160
36.337365 2560 2160
36.477935 2560 2160
36.618505 2560 2160
36.759075 2560 2160
36.899645 2560 2160
37.040215 2560 2160
37.180785 2560 2160
37.321356 2560 2160
37.461926 2560 2160
37.602496 2560 2160
37.743066 2560 2048
37.883636 2560 2048
38.024206 2560 2048
38.164776 2560 2048
38.305346 2560 2048
38.445916 2560 2048
38.586486 2560 2048
38.727056 2560 2025
